date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2018/1/22,5.685562611,-1.229504514,0.740362689,4.89580915,3.527501011,1.919824945,5.685562611
2018/1/29,5.661154595,-1.30770667,0.675778342,4.90795389,3.533263517,1.859052477,5.661154595
2018/2/5,5.739518549,-1.390716591,0.633468456,4.855743211,3.466719372,1.779184056,5.739518549
2018/2/12,5.785529138,-1.466695867,0.712649702,4.858621402,3.31196566,1.856469945,5.785529138
2018/2/19,5.820432015,-1.519701099,0.629409599,4.892673276,3.297760511,1.940231795,5.820432015
2018/2/26,5.572530071,-1.530789076,0.551449998,4.811186111,3.236537261,1.943777076,5.572530071
2018/3/5,5.586263151,-1.490206554,0.5132176,4.799285397,3.137354111,1.905410355,5.586263151
2018/3/12,5.62810578,-1.418113006,0.505149978,4.848743182,3.050766311,1.94094317,5.62810578
2018/3/19,5.653462402,-1.343805008,0.505149978,4.781360382,3.050766311,1.878357632,5.653462402
2018/3/26,5.607179346,-1.283819217,0.505149978,4.705897907,2.747411808,1.906181064,5.607179346
2018/4/2,5.630886337,-1.247028563,0.507855872,4.803620969,2.506505032,1.86332286,5.630886337
2018/4/9,5.637573778,-1.234138112,0.480006943,4.805874503,2.387389826,1.937374584,5.637573778
2018/4/16,5.714936342,-1.230895516,0.494154594,4.839113363,2.26245109,1.945187124,5.714936342
2018/4/23,5.702758718,-1.222240559,0.488550717,4.80643776,2.161368002,1.948692345,5.702758718
2018/4/30,5.698848385,-1.194575405,0.5132176,4.742450174,1.949390007,1.941653382,5.698848385
2018/5/7,5.605517292,-1.141866553,0.496929648,4.760791778,1.880813592,1.954242509,5.605517292
2018/5/14,5.643804904,-1.079358419,0.521138084,4.694139948,1.812913357,1.913056582,5.643804904
2018/5/21,5.627915547,-1.02275067,0.5289167,4.687921165,1.77815125,1.883255742,5.627915547
2018/5/28,5.612918361,-0.981175371,0.541579244,4.665627889,1.662757832,1.881629169,5.612918361
2018/6/4,5.588183158,-0.960776009,0.541579244,4.790327395,1.62324929,1.939519253,5.588183158
2018/6/11,5.621201217,-0.962422195,0.521138084,4.744347756,1.707570176,1.901536159,5.621201217
2018/6/18,5.600132883,-0.982558286,0.51054501,4.660799096,1.672097858,1.94094317,5.600132883
2018/6/25,5.619704671,-1.0193097,0.488550717,4.667238087,1.579783597,1.917580524,5.619704671
2018/7/2,5.633744095,-1.072025197,0.462397998,4.699959069,1.653212514,1.936657335,5.633744095
2018/7/9,5.682679264,-1.139803279,0.462397998,4.706103021,1.462397998,1.938805539,5.682679264
2018/7/16,5.716441593,-1.218085258,0.428134794,4.780576515,1.556302501,1.93014822,5.716441593
2018/7/23,5.725743433,-1.296554238,0.428134794,4.780144424,1.531478917,1.930876291,5.725743433
2018/7/30,5.741153963,-1.355301129,0.421603927,4.791178174,1.477121255,1.911538068,5.741153963
2018/8/6,5.765021473,-1.368556119,0.401400541,4.868109321,1.342422681,1.930876291,5.765021473
2018/8/13,5.773648238,-1.337960689,0.401400541,4.889116738,1.342422681,1.956991218,5.773648238
2018/8/20,5.776637996,-1.286422833,0.380211242,4.81845684,1.342422681,1.919078092,5.776637996
2018/8/27,5.676451251,-1.23390225,0.372912003,4.840720701,1.342422681,1.968482949,5.676451251
2018/9/3,5.646795689,-1.193335549,0.390935107,4.797253688,1.51851394,1.920570515,5.646795689
2018/9/10,5.571366384,-1.16967069,0.390935107,4.936237194,1.462397998,1.891298462,5.571366384
2018/9/17,5.639870809,-1.161205451,0.411619706,4.792279599,1.491361694,1.916077773,5.639870809
2018/9/24,5.637495734,-1.167210266,0.404833717,4.774582652,1.770852012,1.886490725,5.637495734
