date,N-tourists,Sentiment,Baidu,WS-avg,N-tourist
2017/1/2,5.563063202,-0.623962396,4.742544465,0.836143197,5.563063202
2017/1/9,5.601230783,-0.689135943,4.753782161,1.089400411,5.601230783
2017/1/16,5.644606957,-0.723659277,4.728978392,1.057991947,5.644606957
2017/1/23,5.67304949,-0.727128426,4.774414767,0.947293649,5.67304949
2017/1/30,5.840825974,-0.706175277,4.87796996,0.993751051,5.840825974
2017/2/6,5.59129283,-0.670842927,4.785073454,1.15490196,5.59129283
2017/2/13,5.572182455,-0.63059857,4.749635844,0.918329954,5.572182455
2017/2/20,5.557698442,-0.592603991,4.730313825,1.052529051,5.557698442
2017/2/27,5.558986814,-0.561886077,4.685338598,0.980976763,5.558986814
2017/3/6,5.562909957,-0.541752274,4.722066007,0.974445896,5.562909957
2017/3/13,5.569243953,-0.53063825,4.744918542,0.993751051,5.569243953
2017/3/20,5.600316059,-0.525025674,4.74530906,1.01822482,5.600316059
2017/3/27,5.583831045,-0.521843263,4.751425384,1.068715812,5.583831045
2017/4/3,5.556881174,-0.518222412,4.678618519,0.895264649,5.556881174
2017/4/10,5.567804809,-0.513288913,4.716487479,0.967815317,5.567804809
2017/4/17,5.622530041,-0.509505912,4.761085483,0.967815317,5.622530041
2017/4/24,5.679852897,-0.509597285,4.739872845,0.974445896,5.679852897
2017/5/1,5.562899263,-0.516361879,4.683668302,0.918329954,5.562899263
2017/5/8,5.573026016,-0.531608526,4.692326864,0.798354636,5.573026016
2017/5/15,5.596524524,-0.551882002,4.683335271,1.012234456,5.596524524
2017/5/22,5.588996234,-0.571730792,4.688268505,0.993751051,5.588996234
2017/5/29,5.567554495,-0.584695791,4.656050264,0.961081934,5.567554495
2017/6/5,5.558102295,-0.584290181,4.650734806,0.93305321,5.558102295
2017/6/12,5.554249232,-0.573140234,4.745480776,0.93305321,5.554249232
2017/6/19,5.584552839,-0.561127058,4.701913211,0.925753972,5.584552839
2017/6/26,5.578539506,-0.557536535,4.695061188,0.93305321,5.578539506
2017/7/3,5.607657647,-0.571602856,4.73989656,0.967815317,5.607657647
2017/7/10,5.665574425,-0.609133716,4.73452781,0.980976763,5.665574425
2017/7/17,5.667406252,-0.668541132,4.818146684,0.93305321,5.667406252
2017/7/24,5.694010818,-0.748105731,4.792713789,0.93305321,5.694010818
2017/7/31,5.695129545,-0.844634665,4.790840874,0.84509804,5.695129545
2017/8/7,5.735279448,-0.95078188,4.764549719,0.954242509,5.735279448
2017/8/14,5.743905467,-1.061926627,4.749233727,0.817659792,5.743905467
2017/8/21,5.517960849,-1.173400051,4.913103571,1.207980403,5.517960849
2017/8/28,5.479526365,-1.275336364,4.720647094,0.918329954,5.479526365
2017/9/4,5.575436107,-1.351249466,4.723217525,0.918329954,5.575436107
2017/9/11,5.629237274,-1.384235062,4.700599889,0.993751051,5.629237274
2017/9/18,5.645242422,-1.36908297,4.721249873,1,5.645242422
2017/9/25,5.615578692,-1.315190406,4.754867955,0.993751051,5.615578692
2017/10/2,5.785898317,-1.238944037,4.768134709,1.109144469,5.785898317
2017/10/9,5.568994468,-1.157050191,4.806925777,1.316269962,5.568994468
2017/10/16,5.644368663,-1.084816474,4.756788199,1.258705681,5.644368663
2017/10/23,5.642648488,-1.030248655,4.700539312,1.104291967,5.642648488
2017/10/30,5.658304327,-0.997971124,4.719372725,1.251811973,5.658304327
2017/11/6,5.669889363,-0.991794347,4.751340702,1.068715812,5.669889363
2017/11/13,5.672555936,-1.006791664,4.833918081,1.029963223,5.672555936
2017/11/20,5.671831655,-1.033675747,4.789496101,1.2155998,5.671831655
2017/11/27,5.639826023,-1.062256048,4.755684334,1.068715812,5.639826023
2017/12/4,5.653697687,-1.079996189,4.762108131,1.159223334,5.653697687
2017/12/11,5.683331669,-1.082498592,4.78970055,1.176091259,5.683331669
2017/12/18,5.659358957,-1.078047662,4.785173176,1.200224939,5.659358957
2017/12/25,5.677272892,-1.07603044,4.79019365,1.089400411,5.677272892
2018/1/1,5.581478605,-1.085797395,4.80545328,0.987410873,5.581478605
2018/1/8,5.627828584,-1.115348277,4.830851603,1.272173256,5.627828584
2018/1/15,5.680473305,-1.164104217,4.837000986,0.93305321,5.680473305
2018/1/22,5.685562611,-1.229504514,4.89580915,1.063386979,5.685562611
2018/1/29,5.661154595,-1.30770667,4.90795389,1.288440868,5.661154595
2018/2/5,5.739518549,-1.390716591,4.855743211,1.079181246,5.739518549
2018/2/12,5.785529138,-1.466695867,4.858621402,0.954242509,5.785529138
2018/2/19,5.820432015,-1.519701099,4.892673276,1.006160309,5.820432015
2018/2/26,5.572530071,-1.530789076,4.811186111,0.974445896,5.572530071
2018/3/5,5.586263151,-1.490206554,4.799285397,1.132625565,5.586263151
2018/3/12,5.62810578,-1.418113006,4.848743182,0.918329954,5.62810578
