date,N-tourists,T_avg,Sentiment,Baidu,N-tourist
2017/1/2,5.563063202,1.307496038,-0.623962396,4.742544465,5.563063202
2017/1/9,5.601230783,1.207980403,-0.689135943,4.753782161,5.601230783
2017/1/16,5.644606957,1.211806811,-0.723659277,4.728978392,5.644606957
2017/1/23,5.67304949,1.231542404,-0.727128426,4.774414767,5.67304949
2017/1/30,5.840825974,1.245512668,-0.706175277,4.87796996,5.840825974
2017/2/6,5.59129283,1.164777594,-0.670842927,4.785073454,5.59129283
2017/2/13,5.572182455,1.244453843,-0.63059857,4.749635844,5.572182455
2017/2/20,5.557698442,1.163927702,-0.592603991,4.730313825,5.557698442
2017/2/27,5.558986814,1.247622605,-0.561886077,4.685338598,5.558986814
2017/3/6,5.562909957,1.232269865,-0.541752274,4.722066007,5.562909957
2017/3/13,5.569243953,1.259730364,-0.53063825,4.744918542,5.569243953
2017/3/20,5.600316059,1.282330738,-0.525025674,4.74530906,5.600316059
2017/3/27,5.583831045,1.290034611,-0.521843263,4.751425384,5.583831045
2017/4/3,5.556881174,1.347190573,-0.518222412,4.678618519,5.556881174
2017/4/10,5.567804809,1.339593391,-0.513288913,4.716487479,5.567804809
2017/4/17,5.622530041,1.375532979,-0.509505912,4.761085483,5.622530041
2017/4/24,5.679852897,1.338740997,-0.509597285,4.739872845,5.679852897
2017/5/1,5.562899263,1.397691769,-0.516361879,4.683668302,5.562899263
2017/5/8,5.573026016,1.410897687,-0.531608526,4.692326864,5.573026016
2017/5/15,5.596524524,1.38840572,-0.551882002,4.683335271,5.596524524
2017/5/22,5.588996234,1.402875226,-0.571730792,4.688268505,5.588996234
2017/5/29,5.567554495,1.444713799,-0.584695791,4.656050264,5.567554495
2017/6/5,5.558102295,1.462397998,-0.584290181,4.650734806,5.558102295
2017/6/12,5.554249232,1.433655561,-0.573140234,4.745480776,5.554249232
2017/6/19,5.584552839,1.437297465,-0.561127058,4.701913211,5.584552839
2017/6/26,5.578539506,1.458529936,-0.557536535,4.695061188,5.578539506
2017/7/3,5.607657647,1.43090395,-0.571602856,4.73989656,5.607657647
2017/7/10,5.665574425,1.449147676,-0.609133716,4.73452781,5.665574425
2017/7/17,5.667406252,1.430443648,-0.668541132,4.818146684,5.667406252
2017/7/24,5.694010818,1.467079316,-0.748105731,4.792713789,5.694010818
2017/7/31,5.695129545,1.457665668,-0.844634665,4.790840874,5.695129545
2017/8/7,5.735279448,1.463039339,-0.95078188,4.764549719,5.735279448
2017/8/14,5.743905467,1.465382851,-1.061926627,4.749233727,5.743905467
2017/8/21,5.517960849,1.452443628,-1.173400051,4.913103571,5.517960849
2017/8/28,5.479526365,1.445604203,-1.275336364,4.720647094,5.479526365
2017/9/4,5.575436107,1.443821566,-1.351249466,4.723217525,5.575436107
2017/9/11,5.629237274,1.470872305,-1.384235062,4.700599889,5.629237274
2017/9/18,5.645242422,1.45484486,-1.36908297,4.721249873,5.645242422
2017/9/25,5.615578692,1.459392488,-1.315190406,4.754867955,5.615578692
2017/10/2,5.785898317,1.454627114,-1.238944037,4.768134709,5.785898317
